Artist ID,Artist Name,Track ID,Track Name,Popularity Score
6l3HvQ5sa6mXTsMTB19rO5,J. Cole,2JvzF1RMd7lE3KmFlsyZD8,MIDDLE CHILD,95
7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X,53CJANUxooaqGOtdsBTh7O,Old Town Road,95
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,2Fxmhks0bxGSBdJ92vM42m,bad guy,98
7gOdHgIoIKoe4i9Tta6qdD,Jonas Brothers,4y3OI86AEP6PQoDE6olYhO,Sucker,98
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,4kV4N9D1iKVxx1KLvtTpjS,"break up with your girlfriend, i'm bored",98
0YinUQ50QDB7ZxSCLyQ40k,Mustard,63cd4JkwGgYJrbOizbfmsp,Pure Water (with Migos),92
1cNDP5yjU5vjeR8qMf4grg,YNW Melly,6vWEAOUSxohKxhp0K1BsxL,Mixed Personalities (feat. Kanye West),91
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,6Hj9jySrnFppAI0sEMCZpJ,Robbery,91
7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X,6u7jPi22kF8CTQ3rb9DHE7,Old Town Road - Remix,92
6LuN9FCkKOj5PcnpouEgny,Khalid,0rTV5WefWd1J3OwIheTzxM,Talk,94
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,14msK75pk3pA33pzPVNtBF,7 rings,96
2wY79sveU1sp5g7SokKOiI,Sam Smith,6Qs4SXO9dwPj5GKvVOv8Ki,Dancing With A Stranger (with Normani),96
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,3e9HZxeyfWwjeyPAMmWSSQ,"thank u, next",94
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,3Fj47GNK2kUF0uaEDgXLaD,wish you were gay,92
4kYSro6naA4h99UJvo89HB,Cardi B,0PG9fbaaHFHfre2gUVo7AN,Please Me,92
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,6ocbgoVGwYJhOv1GgI9NsF,7 rings,94
5JZ7CnR6gTvEMKX4g70Amv,Lauv,7COXchtUOMd6uIT6HvmRaI,i'm so tired...,95
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,4SSnFejRGlZikf02HLewEF,bury a friend,92
7d3WFRME3vBY2cgoP38RDo,Lil Skies,4ZT9FnbFu1PaBfV3itxiqT,i,87
64KEffDW9EtZ1y2vBYgq8T,Marshmello,5icOoE6VgqFKohjWWNp0Ac,Here With Me,93
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,6tsOcBnaKgzK22yEiqRh8P,MONOPOLY (with Victoria Monét),89
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,4QIo4oxwzzafcBWkKjDpXY,xanny,90
6LuN9FCkKOj5PcnpouEgny,Khalid,1DUSuNhF8P5vUGNPpQiZa5,My Bad,91
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,6IRdLKIyS4p7XNiP8r6rsx,all the good girls go to hell,91
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,43zdsphuZLzwA9k4DJhU0I,when the party's over,91
6LuN9FCkKOj5PcnpouEgny,Khalid,09oZ9eXQ2fo6YDrPzJqAoP,Outta My Head (with John Mayer),87
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,3Tc57t9l2O8FwQZtQOvPXK,my strange addiction,90
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,1TEL6MlSSVLSdhOSddidlJ,needy,88
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,3XF5xLJHOQQRbWya6hBp7d,you should see me in a crown,90
4VMYDCV2IEDYJArk749S6m,Daddy Yankee,5w9c2J52mkdntKOmRLeM2m,Con Calma,100
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,6MjNilJCVKJq0LfFvo5jWJ,Fast,88
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,6CcJMwBtXByIz4zQLzFkKc,i love you,89
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,7qEKqBCD2vE5vIBsrUitpD,ilomilo,89
